numObj,x,y,z,velocity,x_static,y_static,z_static,velocity_static,timestamp
3,"[6.05056, 6.05056, 6.12091]","[-0.0700069, -0.068134, -0.0680868]","[0.465719, 0.407737, 0.406132]","[0, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:20
9,"[5.83949, 5.90985, 5.9802, 6.05056, 5.90985, 5.83949, 5.90985, 5.9802, 6.05056]","[-0.0344359, -0.0348989, -0.0350404, -0.0339681, -0.0340308, -0.0340571, -0.0345237, -0.0343584, -0.0331313]","[0.433114, 0.460963, 0.469021, 0.402315, 0.406618, 0.408406, 0.43858, 0.428213, 0.338089]","[0, 0, 0, 0, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:21
4,"[5.9802, 5.9802, 5.9802, 6.05056]","[-0.034233, -0.0341207, -0.0677186, -0.0334932]","[0.420118, 0.412695, 0.393316, 0.367577]","[-0.44156, -0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:22
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:39:23
5,"[6.05056, 6.12091, 6.12091, 6.05056, 6.12091]","[-0.0669129, -0.0673368, -0.102006, 0, 0]","[0.363249, 0.379443, 0.401025, 0.307834, 0.305104]","[0, 0, 0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:24
8,"[6.12091, 6.05056, 6.12091, 6.19127, 6.12091, 6.05056, 6.12091, 6.19127]","[0, 0, 0, 0, -0.0669955, -0.0666407, -0.0662802, -0.0666798]","[0.319218, 0.34734, 0.350474, 0.323247, 0.366474, 0.352363, 0.337285, 0.353952]","[0, 0.147187, 0.147187, 0.147187, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:25
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:39:26
9,"[5.9802, 6.05056, 6.12091, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 6.19127]","[-0.0340184, 0, 0, 0, 0, 0, 0, 0, 0]","[0.405771, 0.422288, 0.434202, 0.34707, 0.348656, 0.375883, 0.376114, 0.387217, 0.385918]","[0, 0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:27
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:39:28
5,"[6.05056, 5.9802, 6.05056, 6.12091, 6.05056]","[0, 0, 0, -0.033298, 0]","[0.366401, 0.388152, 0.37159, 0.352045, 0.413954]","[0, 0.147187, 0.147187, 0.147187, 0.294373]","[]","[]","[]","[]",28/06/2025 12:39:29
3,"[6.12091, 6.19127, 6.26163]","[0, 0, 0.0340991]","[0.402766, 0.408342, 0.411242]","[0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:39:30
2,"[6.19127, 6.26163]","[-0.0675901, -0.0339068]","[0.388719, 0.398044]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:31
2,"[6.12091, 6.19127]","[0.0336346, 0.0337768]","[0.378343, 0.388792]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:32
2,"[6.05056, 6.12091]","[0, 0]","[0.483881, 0.474106]","[0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:39:33
2,"[6.05056, 6.12091]","[-0.0331824, -0.0329192]","[0.342447, 0.319265]","[0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:39:35
1,"[6.19127]","[0]","[0.391455]","[0]","[]","[]","[]","[]",28/06/2025 12:39:36
7,"[6.05056, 6.12091, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091]","[0, 0, -0.0340777, 0, 0, 0, 0.034029]","[0.432383, 0.43804, 0.409803, 0.389643, 0.357806, 0.374289, 0.406495]","[0, 0, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:37
10,"[5.9802, 6.05056, 6.12091, 6.05056, 6.12091, 5.9802, 6.05056, 6.05056, 6.12091, 6.12091]","[0.0348587, 0.033627, 0.0680623, 0.0334521, 0.03365, 0.0337463, 0.0677362, -0.443348, 0.0679696, -0.384981]","[0.458633, 0.37777, 0.405296, 0.364378, 0.379495, 0.386581, 0.393943, -0.641256, 0.402111, -0.587857]","[0, -0.44156, -0.44156, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:38
8,"[5.9802, 6.05056, 6.12091, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.461871, 0.463221, 0.464338, 0.388913, 0.40145, 0.421408, 0.423528, 0.428237]","[0, 0, 0, -0.294373, -0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:40
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:39:41
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:39:42
9,"[6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.26163, 6.12091, 6.19127]","[0, 0.0336722, 0.0689097, -0.0347921, 0, 0.0351495, 0.106365, 0, 0.0355089]","[0.403326, 0.381141, 0.433022, 0.454746, 0.442325, 0.475109, 0.488453, 0.473204, 0.494415]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:39:43
4,"[6.12091, 6.05056, 6.12091, 6.19127]","[-0.0686418, -0.0698067, -0.0702058, -0.0729668]","[0.424512, 0.459991, 0.471316, 0.540766]","[0, 0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:39:44
5,"[6.12091, 6.19127, 6.12091, 6.12091, 6.19127]","[0.0348249, 0.0354503, 0.0331288, 0.0337445, 0.0340895]","[0.456663, 0.491344, 0.337875, 0.386453, 0.410602]","[0, 0, -0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:45
3,"[6.12091, 6.12091, 6.19127]","[-0.0336575, 0, 0]","[0.380047, 0.343845, 0.369604]","[0, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:46
6,"[5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091]","[0, 0, 0, 0, 0, 0.0336661]","[0.425064, 0.434628, 0.473067, 0.332494, 0.349939, 0.380687]","[0.147187, 0.147187, 0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:47
4,"[6.12091, 6.19127, 6.12091, 6.19127]","[0.0352276, 0.0348836, -0.0675804, -0.103443]","[0.4794, 0.46008, 0.388368, 0.43252]","[0.147187, 0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:48
2,"[6.05056, 6.12091]","[-0.0670199, -0.0686039]","[0.367419, 0.423292]","[0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:39:49
11,"[6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127]","[-0.033387, -0.0331719, -0.0333539, -0.0333727, -0.033322, 0, -0.0337968, -0.0337976, 0.0666057, 0.102264, 0.105646]","[0.359231, 0.341556, 0.356582, 0.358088, 0.354003, 0.374846, 0.390238, 0.390293, 0.350933, 0.406925, 0.475533]","[0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:50
1,"[6.12091]","[0]","[0.382184]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:39:51
10,"[6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.26163, 6.05056, 6.12091, 6.19127]","[-0.0334142, -0.0333121, -0.0334513, -0.0337563, -0.0337599, -0.0338409, -0.0337619, -0.0342088, -0.0342374, -0.034244]","[0.361392, 0.353195, 0.364313, 0.387308, 0.387573, 0.393392, 0.387714, 0.418532, 0.420404, 0.420838]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373]","[]","[]","[]","[]",28/06/2025 12:39:52
3,"[6.19127, 6.12091, 6.19127]","[-0.0338716, -0.0346385, -0.0345959]","[0.395564, 0.445593, 0.443007]","[0, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:53
6,"[6.12091, 6.19127, 6.12091, 6.19127, 6.12091, 6.19127]","[-0.0333123, -0.0347568, 0, 0, -0.0682111, -0.0356817]","[0.353217, 0.452661, 0.328618, 0.386416, 0.410344, 0.503321]","[0, 0, 0.147187, 0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:54
7,"[6.05056, 6.05056, 6.12091, 6.12091, 6.12091, 6.12091, 6.12091]","[-0.366821, 0.137544, -0.33306, 0.168456, -0.270257, 0.249342, -0.0346721]","[-0.79951, 0.423469, -0.837812, 0.371063, -0.792169, 0.481145, 0.447617]","[0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:55
6,"[6.05056, 6.12091, 6.05056, 6.12091, 6.12091, 6.19127]","[0, -0.0316716, 0, 0, -0.0327408, -0.0324313]","[0.254373, 0.162339, 0.395865, 0.362904, 0.302362, 0.270105]","[0.147187, 0.147187, 0.294373, 0.294373, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:56
10,"[5.9802, 6.05056, 6.12091, 5.9802, 6.05056, 6.12091, 6.12091, 6.05056, 6.05056, 6.19127]","[0.0327993, 0.032549, 0, 0.0329708, 0.03281, 0.0330823, -0.375998, 0.0327355, -0.324254, -0.0328438]","[0.308017, 0.282861, 0.281072, 0.323963, 0.30905, 0.333854, -0.552847, 0.301839, -0.489082, 0.312255]","[0, 0, 0, 0.147187, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:57
2,"[6.05056, 6.12091]","[0, 0]","[0.359436, 0.347481]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:58
5,"[6.05056, 6.12091, 6.05056, 6.12091, 6.19127]","[-0.0346453, 0, 0, 0, 0.0336925]","[0.446003, 0.460413, 0.37342, 0.36842, 0.382641]","[0.147187, 0.147187, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:39:59
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:00
2,"[6.05056, 6.12091]","[-0.0351353, 0]","[0.474326, 0.292948]","[0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:01
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:02
3,"[6.05056, 5.9802, 6.05056]","[-0.0345763, 0, -0.0354094]","[0.441813, 0.476486, 0.489178]","[0, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:03
5,"[5.9802, 6.05056, 5.9802, 6.05056, 6.12091]","[-0.0343059, -0.0350551, -0.0348361, -0.0355693, -0.0358217]","[0.424851, 0.469848, 0.457319, 0.497554, 0.510371]","[0, 0, 0.147187, 0.147187, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:04
7,"[6.05056, 6.12091, 6.19127, 6.26163, 6.12091, 6.19127, 6.26163]","[-0.0340694, -0.0685536, -0.0678716, -0.0673564, -0.0332822, -0.0331679, -0.0657267]","[0.409245, 0.421662, 0.398707, 0.380168, 0.350756, 0.341212, 0.312422]","[0, 0, 0, 0, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:05
1,"[6.19127]","[-0.0336929]","[0.382668]","[0.147187]","[]","[]","[]","[]",28/06/2025 12:40:06
9,"[6.05056, 6.12091, 6.05056, 6.12091, 6.19127, 6.05056, 6.12091, 6.19127, 6.19127]","[0.0333399, 0.0338236, 0, 0, 0, 0, 0, 0, -0.0338028]","[0.355449, 0.392157, 0.380483, 0.392926, 0.472044, 0.409205, 0.42212, 0.477875, 0.390668]","[0, 0, 0.147187, 0.147187, 0.147187, 0.294373, 0.294373, 0.294373, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:07
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:08
2,"[6.12091, 6.19127]","[-0.0328515, 0]","[0.312978, 0.294412]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:09
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:10
2,"[6.05056, 6.12091]","[-0.035463, -0.0343433]","[0.492009, 0.427246]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:11
4,"[6.19127, 6.05056, 6.12091, 6.19127]","[-0.0704, -0.0335813, -0.0340609, -0.034564]","[0.476692, 0.374332, 0.408668, 0.441058]","[0, -0.147187, -0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:12
2,"[6.12091, 6.19127]","[-0.0345783, -0.0362882]","[0.441932, 0.532872]","[-0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:13
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87069, 2.50315]","[-0.103099, -0.147285]","[0, 0]",28/06/2025 12:40:14
5,"[6.12091, 6.19127, 6.05056, 6.12091, 6.19127]","[-0.0352826, -0.0351362, 0, 0, -0.0339272]","[0.482388, 0.474371, 0.481202, 0.503958, 0.399472]","[0, 0, 0.147187, 0.147187, -0.147187]","[]","[]","[]","[]",28/06/2025 12:40:15
2,"[6.05056, 6.05056]","[0, 0]","[0.413758, 0.514314]","[0, 0.147187]","[]","[]","[]","[]",28/06/2025 12:40:16
0,"[]","[]","[]","[]","[0.608748, 1.27763]","[1.87353, 2.50315]","[0, -0.147285]","[0, 0]",28/06/2025 12:40:17
